Movie_ID	title	runtime	theatre_count
153	delaware shore (2018)	102.0	
154	dantza (spain) (2018)	98.0	
155	d p a detetives do predio azul 2 o filme (brazil) (2018)		
156	between worlds (spain) (2018)	90.0	
157	antariksham 9000 kmph (india) (2018)	140.0	
158	blue amber (china) (2018)	97.0	
159	ailo une odyssee en laponie (france) (2018)	80.0	
160	adanga maru (india) (2018)	145.0	
161	tri bogatyrya i naslednitsa prestola (russia) (2018)	90.0	
162	bolshoi ballet the nutcracker (2018)		
163	holmes and watson (2018)	90.0	2776.0
164	zanjas (argentina) (2017)	77.0	
165	its march 3rd again (china)(2018)	120.0	
166	wedding party 2 the destination dubai (nigeria)	98.0	2.0
167	sin filtro (chile)	100.0	
168	yao ling ling (china) (2017)	89.0	24.0
169	politseyskiy s rublyovki novogodniy bespredel (russia) (2018)	90.0	
170	parayi bulduk (turkey)	88.0	
171	napoli velata (italy)	113.0	
172	klases susitikimas berniukai sugrizta (lithuania)	96.0	
173	kalavaadiya pozhuthugal (india)	154.0	
174	momo (france)	85.0	
175	gulu mermaid 2 (china)	92.0	
176	gandarrappido the revenger squad (philippines)	111.0	
177	fala serio mae (brazil)	79.0	
178	echange des princesses l (france)	100.0	
179	okka kshanam (india)	150.0	
180	forget about nick (germany)	110.0	
181	come un gatto in tangenziale (italy) (2017)	98.0	
182	seuwingkizeu (south korea) (2018)	133.0	15.0
183	capri revolution (italy) (2018)	122.0	
184	maya (france)(2018)	107.0	
185	mayakwang (south korea) (2018)	139.0	
186	nachtwacht de poort der zielen (belgium) (2018)	88.0	
187	empereur de paris l (france) (2018)	110.0	
188	gendre de ma vie le (france) (2018)	100.0	
189	amici come prima (italy) (2018)	85.0	
190	zhong guo he huo ren 2 (china)(2018)	90.0	
191	mary poppins returns (2018)	130.0	4090.0
192	christmas carol a (2018)		
193	wedding the (egypt) (2018)	75.0	
194	yo kai watch movie 5 forever friends (japan) (2018)	100.0	
195	volver a boedo (documentary) (argentina) (2018)	88.0	
196	yuli (spain) (2018)	115.0	
197	turtle odyssey (oz)(2018)	45.0	
198	three words to forever (philippines) (2018)	106.0	
199	trote (spain)(2018)	83.0	
200	that way madness lies (2018) (documentary)	101.0	2.0
201	vida que te agenciaste la (argentina) (2018)	85.0	
202	there will be ample time (china) (2018)	87.0	
203	stolen fariytales (china) (2018)	90.0	
204	cat kapi ask (turkey) (2017)	92.0	
205	skjelvet (norway) (2018)	105.0	7.0
206	caffe (italy)	110.0	
207	seethakaathi (india) (2018)	173.0	
208	balloon (india)	146.0	
209	barkley (taiwan)	88.0	
210	basmati blues	94.0	
211	asya (france)		
212	anons (turkey) (2017)	94.0	
213	aruvi (india)	130.0	
214	dvizhenie vverkh (russia)	133.0	
215	er dai yao jing (china)	90.0	
216	1987 when the day comes (south korea)	129.0	
217	qian ren 3 yan zhi da zuo zhan (china)	120.0	21.0
218	revenge girl (japan)		
219	phantom thread	130.0	4.0
220	berliner philharmoniker new year s eve concert (2017)		
221	yao mao zhuan (china) (2017)	119.0	
