title,international_box_office,domestic_box_office,worldwide_box_office,production_budget,normalized_title,Movie_ID
t 34,39526616,,39526616,10000000,t 34,111
b r,1441948,,1441948,,b r,112
der junge muss an die frische luft,31920181,,31920181,,der junge muss an die frische luft,113
yolki posledniye,11499494,,11499494,,yolki posledniye,114
cuando brillan las estrellas,2506,,2506,,cuando brillan las estrellas,115
au bout des doigts,3712903,,3712903,,au bout des doigts,116
un violent d sir de bonheur,,,,,un violent d sir de bonheur,117
la befana vien di notte,9166973,,9166973,,la befana vien di notte,118
pmc deo beong keo,12478635,,12478635,10300000,pmc deo beong keo,119
moschettieri del re la penultima missione,5728962,,5728962,,moschettieri del re la penultima missione,120
mult v kino vypusk no 87,100689,,100689,,mult v kino vypusk no 87,121
l homme fid le,1861933,77776,1939709,,l homme fid le,122
perfectos desconocidos,6880839,1014507,7895346,,perfectos desconocidos,123
zerk,8785,,8785,,zerk,124
destroyer,4332165,1533324,5865489,9000000,destroyer,125
zero,1995127,,1995127,,zero,126
yan mda kal,69938,,69938,,yan mda kal,127
ye wen hui chuan zhang tianzhi,19572493,209454,19781947,,ye wen hui chuan zhang tianzhi,128
mia et le lion blanc,33899357,400498,34299855,,mia et le lion blanc,129
wu lin guai shou,11573104,,11573104,,wu lin guai shou,130
kamen raid heisei jener shonzu foeb,12465928,,12465928,,kamen raid heisei jener shonzu foeb,131
welcome to marwen,2322617,10763520,13086137,45000000,welcome to marwen,132
vergara,3695,,3695,,vergara,133
vice,23057500,47836282,70893782,60000000,vice,134
tian qi yu bao,18382575,103053,18485628,,tian qi yu bao,135
the soul of shui people in 1944,599574,,599574,,the soul of shui people in 1944,136
snezhnaya koroleva zazerkale,9456027,,9456027,,snezhnaya koroleva zazerkale,137
unknown distance,,,,,unknown distance,138
silukkuvarpatti singam,405,,405,,silukkuvarpatti singam,139
the revenge of phantom knight,23369,,23369,,the revenge of phantom knight,140
padi padi leche manasu,20916,,20916,,padi padi leche manasu,141
s kut evi,262,,262,,s kut evi,142
porno para principiantes,9848,,9848,,porno para principiantes,143
patrolman baoyin,100000,,100000,,patrolman baoyin,144
the last resort,,158646,,,the last resort,145
national theatre live antony cleopatra,891885,,891885,,national theatre live antony cleopatra,146
maari 2,68392,,68392,,maari 2,147
kanaa,2999,,2999,,kanaa,148
hugo paco luis y tres chicas de rosa,100,,100,,hugo paco luis y tres chicas de rosa,149
kurtlar ve akallar,11593,,11593,,kurtlar ve akallar,150
fabeltjeskrant de grote dierenbos spelen,728944,,728944,,fabeltjeskrant de grote dierenbos spelen,151
