Movie_ID,worldwide_box_office
1,76576.0
2,17865209.0
3,
4,
5,46060861.0
6,
7,
8,
9,
10,
11,25044057.0
12,
13,21596074.0
14,2607117.0
15,1334204.0
16,78269970.0
17,
18,
19,24426169.0
20,
21,156815529.0
22,10404075.0
23,25047727.0
24,
25,55247881.0
26,2037.0
27,2812739.0
28,62831715.0
29,
30,118729073.0
31,1058457.0
32,912158.0
33,509193.0
34,
35,34053090.0
36,
37,4590000.0
38,
39,5821137.0
40,94036853.0
41,70149.0
42,8747.0
43,2350820.0
44,10530.0
45,17721.0
46,21131406.0
47,567607.0
48,2171383.0
49,7870.0
50,36391.0
51,231.0
52,2855.0
53,3590000.0
54,6203.0
55,67838.0
56,15193.0
57,6842580.0
58,697826.0
59,31834305.0
60,431000.0
61,430568.0
62,583290.0
63,284803.0
64,
65,
66,151741.0
67,314458.0
68,126704591.0
69,18901839.0
70,
71,2064615817.0
72,116162.0
73,226708.0
74,
75,532938302.0
76,66140.0
77,49204.0
78,7259767.0
79,2465.0
80,19291.0
81,
82,1453270.0
83,42140730.0
84,31651.0
85,1494779.0
86,1476950.0
87,7423443.0
88,22369964.0
89,744017.0
90,32834.0
91,1736358.0
92,29062674.0
32553,29062674.0
33924,29062674.0
93,
94,666106.0
95,54.0
96,453.0
97,7357518.0
98,2042938.0
99,45185.0
100,218412.0
101,94951615.0
102,1127.0
103,8652004.0
104,57375.0
105,21105636.0
106,27179.0
107,1866262.0
108,3783492.0
109,94.0
110,585333.0
111,39526616.0
112,1441948.0
113,31920181.0
114,11499494.0
115,2506.0
116,3712903.0
117,
118,9166973.0
119,12478635.0
120,5728962.0
121,100689.0
122,1939709.0
123,7895346.0
124,8785.0
125,5865489.0
126,1995127.0
127,69938.0
128,19781947.0
129,34299855.0
130,11573104.0
131,12465928.0
132,13086137.0
133,3695.0
134,70893782.0
135,18485628.0
136,599574.0
137,9456027.0
138,
139,405.0
140,23369.0
141,20916.0
142,262.0
143,9848.0
144,100000.0
145,
146,891885.0
147,68392.0
148,2999.0
149,100.0
150,11593.0
151,728944.0
152,3739582.0
153,
154,262301.0
155,4432618.0
156,
157,39040.0
158,25049.0
159,1991200.0
160,30612.0
161,9343851.0
162,354373.0
163,41926605.0
31244,41926605.0
33669,41926605.0
164,570.0
165,1160000.0
166,73115.0
167,174.0
168,57628372.0
169,27061365.0
170,16590.0
171,7197082.0
172,1636978.0
173,5317.0
174,5181844.0
175,1653264.0
176,21271.0
177,11616161.0
178,3078723.0
179,1516.0
180,41963.0
181,11282642.0
182,10903259.0
183,828363.0
184,130997.0
185,14446477.0
186,198335.0
187,8628811.0
188,3623355.0
189,9367230.0
190,3004460.0
191,348901032.0
192,
193,2513.0
194,10441722.0
195,16032.0
196,4326104.0
197,141256.0
198,17076.0
199,6538.0
200,
201,63.0
202,9135.0
203,5197.0
204,36969.0
205,4052408.0
206,157683.0
207,10103.0
208,2186353.0
209,1926435.0
210,15651.0
211,2.0
212,24879.0
213,863.0
214,61925449.0
215,46154324.0
216,51775357.0
217,307547824.0
218,1302754.0
219,47812199.0
220,83045.0
221,97033612.0
222,56890649.0
223,14184772.0
224,2354121.0
225,76520376.0
226,9886215.0
227,
228,5259.0
229,468683.0
230,4955.0
231,15738222.0
232,173453994.0
233,79385.0
234,1562666.0
235,410916.0
236,83081.0
237,89674.0
238,1361.0
239,226791.0
240,10.0
241,248.0
242,5356.0
243,1302229.0
244,2580.0
245,27150.0
246,21398371.0
247,2324.0
248,122747755.0
249,62950.0
250,2116.0
251,14702.0
252,2277204.0
253,1944.0
254,2741.0
255,1371255.0
256,56979.0
257,94532.0
258,9181824.0
259,515414.0
260,179769457.0
261,282.0
262,56677.0
263,5146046.0
264,53296424.0
265,2216.0
266,199953.0
267,3784.0
268,3239032.0
269,114402.0
270,36976336.0
271,4394131.0
272,96264.0
273,3907930.0
274,2510.0
275,274407.0
276,21038441.0
277,8664726.0
278,
279,182040.0
280,103289.0
281,104503.0
282,
283,2806603.0
284,
285,
286,95567.0
287,6750631.0
288,60183.0
289,63603.0
290,
291,465195589.0
292,
293,501368.0
294,3042381.0
295,375084923.0
296,1109544.0
297,
298,1866211.0
299,7395953.0
300,
301,16504.0
302,1420000.0
303,54462971.0
304,223498.0
305,2906566.0
306,257.0
307,13503.0
308,35841.0
309,1957225.0
310,4273904.0
311,
312,185736412.0
313,2787298.0
314,9939186.0
315,47872755.0
316,35045171.0
317,35327718.0
318,961613199.0
31497,961613199.0
319,467.0
320,18395457.0
321,20096261.0
322,
323,45997.0
324,464275.0
325,14312.0
326,
327,1440000.0
328,1167.0
329,3308.0
330,51844.0
331,1283981.0
332,101015.0
333,63288854.0
334,48259.0
335,12210.0
336,6827923.0
337,1291454.0
338,336.0
192,441322.0
339,250365.0
340,287.0
341,1091551.0
342,4371.0
343,13752.0
344,
345,
346,1529896.0
347,54455.0
348,
349,41950000.0
350,7396878.0
351,645.0
352,311678.0
353,505.0
354,952127.0
355,3270987.0
356,93721.0
357,2526184.0
358,643281.0
