year,release_date,title,genre,international_box_office,production_budget,Movie_ID
2000,October 27th,once in the life,,,,19049
2000,October 27th,mohabbatein,Musical,,,19050
2000,October 27th,stardom,,,,19051
2000,October 27th,a room for romeo brass,,,"5250000,00",19052
2000,October 27th,un pont entre deux rives,Drama,,,19053
2000,October 27th,lucky numbers,Comedy,,"65000000,00",19054
2000,October 27th,loving jezebel,,,,19055
2000,October 27th,george washington,,"100906,00","42000,00",19056
2000,October 27th,book of shadows blair witch 2,Horror,"21300000,00","15000000,00",19057
2000,October 27th,book of shadows blair witch 2,Horror,"21300000,00","15000000,00",30433
2000,October 27th,une femme d ext rieur,,,,19058
2000,October 24th,sound and fury,,,,19059
2000,June 20th,gloomy sunday ein lied von liebe und tod,,"176143,00",,19060
2000,October 20th,pay it forward,Drama,"22187783,00","40000000,00",19061
2000,October 20th,just one time,,,,19062
2000,October 20th,the wolves of kromer,Horror,,,19063
2000,October 20th,the legend of drunken master,Action,,"10000000,00",19064
2000,October 20th,dolphins,Documentary,"15600000,00",,19065
2000,October 20th,the yards,Drama,"1400000,00","20000000,00",19066
2000,October 20th,confessions of dr sachs,,,,19355
2000,October 20th,calle 54,Documentary,,,19356
2000,October 20th,la bouteille,Comedy,,,19359
2000,October 20th,bedazzled,Comedy,"52496228,00","48000000,00",19360
2000,October 20th,animal factory,Drama,"88875,00",,19361
2000,October 13th,one,,,,19362
2021,April 1st,one,Thriller/Suspense,"56544,00",,19362
2000,October 13th,ratcatcher,,"671573,00",,19363
2000,October 13th,the ladies man,Comedy,"126602,00","11000000,00",19364
2000,October 13th,lost souls,Horror,"14540657,00","28000000,00",19365
2000,October 13th,with a friend like harry,Thriller/Suspense,,,19366
2000,October 27th,the little vampire,Adventure,"4794,00","22000000,00",2513
2017,October 6th,the little vampire,Adventure,"7512272,00",,2513
2000,October 13th,dr t and the women,Romantic Comedy,"9731250,00",,19367
2000,October 13th,dr t and the women,Romantic Comedy,"9731250,00",,30817
2000,October 13th,the contender,Thriller/Suspense,,"9000000,00",19368
2000,October 13th,just looking,,,"3000000,00",19369
2000,October 13th,followers,Drama,,,10091
2018,March 23rd,followers,Thriller/Suspense,,,10091
2000,October 8th,ride,Documentary,,,570
2015,May 1st,ride,Comedy,,,570
2018,November 29th,ride,Drama,"337046,00",,570
2018,October 5th,ride,Thriller/Suspense,,,570
2018,May 17th,ride,Action,"328531,00",,570
2000,October 13th,billy elliot,Drama,"87257709,00","5000000,00",19370
2000,October 13th,el circulo vicioso,Action,,,19371
2000,October 6th,yi yi,Drama,"71347,00",,19372
2000,October 6th,tigerland,Drama,,,19373
2000,October 6th,taxi 2,Action,,,19374
2000,October 6th,two family house,Drama,"5573,00",,19375
2000,October 6th,taboo,Thriller/Suspense,,,19377
2000,October 6th,shikar,,,,19378
2000,October 6th,meet the parents,Comedy,"164200000,00","55000000,00",19664
2000,October 6th,live nude girls unite,Documentary,,,19666
2000,October 6th,get carter,Action,"4450000,00","40000000,00",19667
2000,October 6th,digimon the movie,Adventure,"7000000,00","5000000,00",19668
2000,October 6th,cyberworld 3d,Adventure,"315393,00",,19669
2000,October 6th,requiem for a dream,Drama,"3753751,00","4500000,00",19670
2000,October 6th,bamboozled,Drama,"188671,00","10000000,00",19671
2000,October 6th,dil pe mat le yaar,,,,19672
2000,September 29th,remember the titans,Drama,"21051932,00","30000000,00",19673
2000,September 29th,running on the sun,,,,19674
2000,September 29th,promenons nous dans les bois,,,,19675
2000,September 29th,the price of air,,,,19676
2000,September 29th,peixe lua,Drama,"471,00",,19677
2000,February 2nd,in the mood for love,Drama,"11089602,00",,19678
2000,September 29th,cleopatra s second husband,Drama,,,19679
2000,October 6th,bootmen,Comedy,,,19680
2000,September 29th,beautiful,Drama,,"9000000,00",19681
2000,September 29th,girlfight,Drama,,,19684
2000,September 29th,the broken hearts club a romantic comedy,Comedy,"277584,00","1000000,00",19685
2000,September 29th,the broken hearts club a romantic comedy,Comedy,"277584,00","1000000,00",32762
2000,September 29th,barenaked in america,Documentary,,,19948
2000,September 27th,twilight los angeles,,,,19949
2000,October 17th,stations of the elevated,Documentary,,,19950
2000,September 27th,best in show,Comedy,"2074164,00","6000000,00",19951
2000,September 22nd,urban legends final cut,Horror,"17105555,00","15000000,00",19952
2000,September 22nd,urban legends final cut,Horror,"17105555,00","15000000,00",33412
2000,September 22nd,uninvited guest,,,,19953
2000,September 22nd,woman on top,Romantic Comedy,"5174163,00","8000000,00",19954
2000,September 22nd,under suspicion,Thriller/Suspense,,,19955
2000,September 22nd,the tavern,,,,19956
2000,September 22nd,tra tre ou patriote,,,,19957
2000,September 22nd,the specials,Action,,"1000000,00",19958
2000,September 22nd,l invention de l amour,,,,19959
2000,September 22nd,left luggage,Drama,,,19960
2000,September 22nd,le pique nique de lulu kreutz,,,,19961
2000,September 22nd,le monde de marty,,,,19962
2000,September 22nd,the fantasticks,,,,19963
2000,September 22nd,dancer in the dark,Musical,"41399283,00","12500000,00",19964
2000,September 22nd,blood friends and money,Horror,,,19965
2000,September 15th,on the run,,,,19966
2000,September 15th,urbania,Drama,,"225000,00",19967
2000,September 15th,la noce,,,,19968
2000,September 22nd,prince of central park,,,,19973
2000,September 15th,maelstrom,,,,20204
2000,September 15th,karobaar,,,,20206
2000,September 15th,goya in bordeaux,Drama,,,20207
2000,September 15th,duets,Drama,"1881217,00","16000000,00",20208
2000,September 15th,crime and punishment in suburbia,,,,20209
2000,September 15th,bait,Action,"146842,00","35000000,00",20210
2019,August 30th,bait,Drama,"783114,00",,20210
2000,September 15th,into the arms of strangers stories of the kindertransport,Documentary,"88145,00",,20211
2000,September 15th,into the arms of strangers stories of the kindertransport,Documentary,"88145,00",,31392
2000,September 15th,30 days,Comedy,,,20212
2000,September 15th,almost famous,Comedy,"14848839,00","60000000,00",20213
2000,September 13th,paragraph 175,,,,20214
2000,September 13th,human resources,,,,20215
2000,September 9th,gongdong gyeongbi guyeok jsa,Action,"25230,00",,20216
2000,September 15th,circus,Thriller/Suspense,,,20217
2000,September 9th,siworae,Drama,"8076,00",,20218
2000,September 8th,went to coney island on a mission from god,,,,20219
2000,September 8th,the way of the gun,Action,"7014079,00","9000000,00",20220
2000,September 8th,the watcher,Thriller/Suspense,"18321214,00","33000000,00",20221
2000,September 15th,baise moi,Thriller/Suspense,,,20222
2000,September 8th,solas,Drama,,,20223
2000,September 8th,nurse betty,Black Comedy,"2562312,00","24000000,00",20224
2000,September 8th,fiza,Drama,"555671,00","1000000,00",20225
2000,September 8th,pola x,Drama,,,20226
2000,September 8th,it all starts today,,,,20233
2000,September 8th,clouds,,,,20425
2000,September 8th,anatomie,Horror,,"2500000,00",20427
2000,September 1st,wildflowers,,,,20429
2000,September 8th,the autumn heart,Drama,,,20430
2000,September 1st,whipped,Comedy,,"3000000,00",20431
2000,September 1st,i cento passi,Drama,"10422,00",,20432
2000,September 1st,titanic town,Drama,,,20433
2000,September 1st,hochelaga,,,,20434
2000,September 6th,backstage,Documentary,,,11228
2018,March 9th,backstage,,"595281,00",,11228
2006,November 22nd,backstage,Drama,,,11228
2000,September 1st,highlander endgame,Action,,"15000000,00",20435
2000,September 1st,highlander endgame,Action,,"15000000,00",31229
2000,September 6th,turn it up,Drama,,,20436
2000,August 30th,dark days,,,,20437
2000,August 25th,solomon and gaenor,,,,20438
2000,August 25th,tera jadoo chal gayaa,,,,20439
2000,August 25th,orfeu,,,,20440
2000,August 25th,smiling fish and goat on fire,Comedy,,"40000,00",20441
2000,August 25th,hamara dil aapka pase hain,,,,20442
2000,August 25th,cherry falls,Horror,,,20443
2000,August 25th,love and sex,Romantic Comedy,,,20445
2000,August 25th,bring it on,Comedy,"22100000,00","10000000,00",20449
