year,release_date,title,genre,international_box_office,production_budget,Movie_ID
2015,March 13th,seymour an introduction,Documentary,"238569,00",,12995
2015,March 13th,seymour an introduction,Documentary,"238569,00",,32433
2015,March 13th,nh10,Thriller/Suspense,"42916,00",,12996
2015,March 13th,selam bahara yolculuk,Drama,"5075451,00",,12997
2015,March 13th,salineuiloe,Thriller/Suspense,"6217271,00",,12998
2015,March 13th,negociador,,"319362,00",,12999
2015,March 13th,muck,Horror,,,13000
2015,July 31st,n o pare na pista a melhor hist ria de paulo coelho,Drama,"726516,00","5400000,00",13001
2015,March 13th,met opera la donna del lago,Concert/Performance,"436630,00",,13002
2015,March 13th,medeas,Drama,,,13003
2015,March 13th,mandira filozofu istanbul,Comedy,"2033619,00",,13004
2015,March 13th,madam ppang deok,Thriller/Suspense,"7713,00",,13265
2015,March 13th,ma che bella sorpresa,Comedy,"5626528,00",,13268
2015,March 13th,hross i oss,Comedy,,"10000000,00",13269
2015,March 13th,kaze ni tatsu raion,Drama,"1108162,00",,13270
2015,March 13th,the lovers,Adventure,"53899,00","35000000,00",8133
2017,May 5th,the lovers,Romantic Comedy,"21853,00",,8133
2015,March 13th,feng men gui ying,Thriller/Suspense,"3690000,00",,13271
2015,March 13th,earth s golden playground,Documentary,,,13272
2015,March 13th,le dernier coup de marteau,Drama,"276087,00",,13274
2015,March 13th,champs,Documentary,"2455,00",,13275
2015,March 13th,bana adini sor,Drama,"392088,00",,13276
2015,March 13th,c est dur d tre aim par des cons,Documentary,,,13277
2015,May 8th,1001 grams,Drama,"36036,00",,13278
2015,March 13th,electric boogaloo the wild untold story of cannon films,Documentary,"864,00",,13279
2015,March 12th,manny lewis,Comedy,"307204,00",,13280
2015,July 3rd,suite fran aise,Drama,"8256349,00",,13281
2015,March 12th,sergio herman fucking perfect,Documentary,,,13282
2015,June 26th,a little chaos,Drama,"9526450,00",,13283
2015,March 13th,doogeundoogeun naeinsaeng,Drama,"640000,00",,13284
2015,March 12th,dilwale dulhania le jayenge,Romantic Comedy,"7584,00",,13285
2015,March 27th,boychoir,Drama,"3399299,00",,13286
2015,March 7th,royal shakespeare company live love s labour s lost,Concert/Performance,"25187,00",,13287
2015,March 13th,run all night,Action,"45100000,00","50000000,00",13288
2015,March 6th,yeni d nya,Drama,"21153,00",,13290
2015,March 6th,a year in champagne,Documentary,,,13291
2015,March 6th,superfast,Comedy,"1417441,00",,13552
2015,March 6th,sunsu ui sidae,,"3180514,00",,13554
2015,March 6th,soromon no gishou,Thriller/Suspense,"2872612,00",,13555
2015,March 6th,the search,Drama,"91184,00",,13557
2015,March 6th,straight outta tompkins,Drama,,,13558
2015,March 6th,road hard,Comedy,,"1500000,00",13559
2015,March 6th,refugiado,Drama,"44160,00",,13560
2015,March 6th,perdiendo el norte,Comedy,"11438207,00",,13561
2015,March 6th,nessuno si salva da solo,Drama,"3695945,00",,13562
2015,March 6th,merchants of doubt,Documentary,"8200,00",,13563
2015,August 28th,nar dyrene drommer,Drama,"23255,00",,13564
2015,March 6th,la luz con el tiempo dentro,,"330,00",,13565
2015,March 6th,naturaleza muerta,Horror,"20578,00",,13566
2015,March 6th,like sunday like rain,Drama,,,13567
2015,March 6th,the life and mind of mark defriest,Documentary,,,13568
2015,March 6th,kidnapping mr heineken,Drama,"3237282,00",,13569
2015,March 6th,kidnapping mr heineken,Drama,"3237282,00",,31531
2015,March 6th,hayride 2,Horror,,,13570
2015,March 6th,granny s got talent,,"3535083,00",,13571
2015,March 6th,invasi n,Documentary,"74973,00",,13572
2015,March 6th,an honest liar,Documentary,,,13573
2015,March 6th,faults,Thriller/Suspense,,,13574
2015,March 6th,dukhless 2,Drama,"9194350,00",,13575
2015,March 6th,drawers,Drama,"35910,00",,13576
2015,March 6th,da xi lin men,Romantic Comedy,"900173,00",,13577
2015,March 6th,doraemon nobita and the space heroes,Adventure,"34395038,00",,13580
2015,March 13th,cymbeline,Drama,"18122,00",,13845
2015,March 13th,cinderella,Drama,"341200000,00","95000000,00",13847
2006,August 17th,cinderella,,"2185663,00",,13847
2015,March 6th,chor gei,Drama,"2246744,00",,13849
2015,March 6th,buzzard,Black Comedy,,,13850
2015,March 6th,beijing new york,Drama,"2520000,00",,13851
2015,March 6th,bad asses on the bayou,Action,,,13852
2015,March 6th,allure,Drama,,,10679
2018,March 16th,allure,Thriller/Suspense,"39,00",,10679
2015,March 6th,l art de la fugue,Comedy,"314773,00",,13853
2015,March 6th,bir varmis bir yokmus,Musical,"748381,00",,13854
2015,March 5th,jiang cuo jiu cuo,Drama,"5590000,00",,13855
2015,March 4th,frackman,Documentary,"38585,00",,13856
2015,March 6th,chappie,Action,"73432788,00","49000000,00",13857
2015,July 31st,that sugar film,Documentary,"2379483,00",,13858
2015,March 4th,pretend we re kissing,Romantic Comedy,,,13859
2015,February,mr kaplan,Comedy,"90829,00",,13860
2015,March 6th,unfinished business,Comedy,"2994550,00","35000000,00",13861
2015,March 1st,ji xing gao zhao,Comedy,"1691962,00",,13862
2015,February 27th,superpai,Comedy,"1617090,00",,13863
2015,February 27th,urok,Drama,"19895,00",,13864
2015,February 28th,exhibition on screen girl with a pearl earring,Documentary,"47470,00",,13865
2015,February 27th,el patr n radiograf a de un crimen,Drama,"102,00",,13866
2015,February 27th,paso a paso,Adventure,"20889,00",,13867
2015,February 27th,maraviglioso boccaccio,Comedy,"661512,00",,13868
2015,February 27th,out of the dark,Horror,"1096461,00",,13869
2015,February 27th,my life directed by nicolas winding refn,Documentary,,,13870
2015,February 27th,manda yuvasi,Comedy,"226112,00",,14137
2015,February 27th,le leggi del desiderio,Drama,"620658,00",,14141
2015,February 27th,ejecta,Drama,,,14421
2015,February 27th,the hunting ground,Documentary,"5198,00",,14422
2015,February 27th,deli man the movie,Documentary,,,14423
2015,February 27th,butterfly girl,Documentary,,"180000,00",14424
2015,February 27th,bluebird,Drama,,,14425
2019,November 15th,bluebird,Documentary,,,14425
2015,February 27th,arsi pazar,Comedy,"2346973,00",,14426
2015,February 27th,autrui,Drama,,,14427
2015,February 27th,ana maria in novela land,Comedy,,,14428
2015,February 27th,amazonas el camino de la coca na,Documentary,"803,00",,14429
2015,February 27th,als wir tr umten,Drama,"334069,00",,14430
2015,February 27th,lady of csejte,Horror,"937491,00",,14431
2015,February 27th,after the ball,Romantic Comedy,"72597,00",,14432
2015,February 27th,a la mala,Romantic Comedy,"16785,00",,14433
2015,February 27th,14 ans,Documentary,"29061,00",,14434
2015,February 27th,disco polo,Comedy,"4301648,00",,14435
2015,February 27th,the lazarus effect,Horror,"12557740,00","5000000,00",14436
2015,March 6th,the second best exotic marigold hotel,Comedy,"56322596,00","10000000,00",14437
2015,February 26th,kaaki sattai,Action,"129430,00",,14438
2015,February 25th,wild canaries,Comedy,,,14440
2015,February 27th,eastern boys,Drama,"24334,00",,14441
2015,November 5th,back to the beginning,Drama,"1752277,00",,14442
2015,February 25th,luokkakokous,Comedy,,,14443
2015,February 25th,farewell to hollywood,Documentary,,,14444
2015,February 21st,tu xia zhi qing li chuan shuo,Adventure,"9076648,00",,14448
2015,February 21st,met opera die meistersinger von nurnberg,Concert/Performance,"60578,00",,14722
2015,February 20th,tui na,Drama,"18162,00",,14725
2015,February 20th,traumfrauen,Comedy,"14057701,00",,14726
2015,February 20th,ovechka dolli byla zlaya i rano umerla,Adventure,"772504,00",,14727
2015,April 30th,r alit,Comedy,"413137,00",,14729
2015,February 20th,noi e la giulia,Comedy,"4156499,00",,14730
2015,February 20th,jingren de xiyangyang 7,,"41588,00",,14731
2015,February 20th,hui guang zoumingqu,,"8666,00",,14732
2015,February 20th,kung fu elliot,Documentary,,,14733
2015,February 20th,mcfarland usa,Drama,"1227649,00","17000000,00",14734
2015,February 20th,mcfarland usa,Drama,"1227649,00","17000000,00",31797
2015,June 3rd,en duva satt p en gren och funderade p tillvaron,Comedy,"414069,00",,14735
2015,February 20th,hot tub time machine 2,Comedy,"511993,00","14000000,00",14736
2015,February 20th,the duff,Comedy,"9498291,00","8500000,00",14737
2015,February 20th,boy 7,Action,"391735,00",,14738
2015,March 13th,the cobbler,Comedy,"4161533,00",,14739
2015,February 20th,msg the messenger of god,Action,"13082,00",,14740
2015,February 20th,bis,Comedy,"10252908,00",,14741
2015,February 20th,avanti popolo,Drama,"1410,00",,14742
2015,February 20th,batalon,Action,"8292235,00",,14743
2015,February 20th,big in japan,Comedy,,,14744
2015,March 20th,the gunman,Thriller/Suspense,"13813864,00","40000000,00",14746
2015,March 6th,12 golden ducks,Comedy,"3256270,00",,14748
2015,February 20th,12 mesyatsev novaya skazka,Adventure,"541753,00",,14749
2015,February 20th,ali kundilli,Comedy,"1926557,00",,14756
2015,February 19th,emperor holidays,Comedy,"16960000,00",,15033
2015,February 18th,zhan lang,Action,"81461069,00",,15034
2015,February 20th,badlapur,Thriller/Suspense,"39992,00",,15035
2015,February 20th,triumph in the skies,Drama,"25441760,00",,15036
2015,February 18th,queen and country,Drama,"266744,00",,15037
2015,February 17th,awol 72,Thriller/Suspense,,"3000000,00",15038
2015,September 4th,tian jiang xiong shi,Action,"122445804,00","65000000,00",15039
2015,February 15th,ba ba qu na er 2,Comedy,"32460000,00",,15041
2015,February 15th,du cheng feng yun 2,Comedy,"146203224,00",,15042
2015,March 20th,tracers,Action,"2878901,00",,15043
2015,February 14th,national theatre live treasure island,Concert/Performance,"31797,00",,15044
2015,February 13th,wyrmwood,Action,"106916,00",,15045
2015,February 13th,un village presque parfait,Comedy,"2715460,00",,15046
2015,February 13th,peppa pig the golden boots,Adventure,"4729608,00",,15047
2015,February 13th,roy,Drama,,,15048
2015,February 13th,tian mi mi,Drama,"1720000,00",,15049
2015,February 13th,ma a al fidda,Documentary,"1825,00",,15050
2015,September 11th,lang tu teng,Adventure,"117378636,00",,15051
2015,February 13th,the last five years,Musical,"57999,00","2000000,00",15052
2015,February 13th,kod adi k o z,Drama,"1186730,00",,15053
2015,February 13th,malaventura,Adventure,"672888,00",,15054
2015,February 13th,journey to space 3d,Documentary,"160357,00",,15057
2015,February 13th,girlhouse,Horror,,"1500000,00",15326
2015,February 13th,l enqu te,Thriller/Suspense,"154169,00",,15327
2015,February 13th,gett the trial of viviane amsalem,Drama,"160469,00",,15328
2015,February 13th,gett the trial of viviane amsalem,Drama,"160469,00",,31060
2015,February 13th,the disappearance of conan edogawa the worst two days in history,,"1324979,00",,15329
2015,February 13th,detective k secret of the lost island,Action,"27230725,00",,15330
2015,February 13th,brasserie romantiek,,"66290,00",,15331
2015,February 13th,hits,Comedy,,"1000000,00",15332
2015,February 13th,arraianos,Drama,"1503,00",,15333
2015,February 13th,3 coeurs,Drama,"257389,00",,15334
2015,May 15th,a borrowed identity,Drama,"647801,00",,15335
2015,October 30th,le meraviglie,Drama,"1415854,00",,15336
2015,February 13th,you yi ge di fang zhi you wo men zhi dao,Drama,"45160000,00",,15337
2015,February 6th,yennai arindhaal,Action,"280323,00",,15338
2015,February 6th,wo de zao geng nv you,Romantic Comedy,"27465,00",,15339
2015,February 13th,fifty shades of grey,Drama,"404627720,00","40000000,00",15340
2015,February 6th,warsaw by night,Comedy,"235249,00",,15341
2015,February 6th,shen tan jia dao,Romantic Comedy,"5252231,00",,15342
2015,February 6th,sevimli tehlikeli,Romantic Comedy,"3564246,00",,15343
2015,August 5th,shaun the sheep,Adventure,"82475004,00","25000000,00",15344
2015,February 6th,sacro gra,Documentary,"15303,00",,15345
2015,February 6th,the voices,Comedy,"2238672,00",,15346
2015,February 6th,the other man f w de klerk and the end of apartheid,Documentary,,,15347
2015,February 6th,pass the light,Drama,,,15349
2015,February 6th,outcast,Adventure,"3820123,00",,15353
2015,February 6th,octonauts,,"252738,00",,15688
2015,February 6th,non c 2 senza te,Romantic Comedy,"1035832,00",,15689
2015,February 6th,nian nian you ai,Romantic Comedy,"10220378,00",,15691
2015,February 6th,nevidimki,Comedy,"363595,00",,15692
2015,February 6th,matt shepard is a friend of mine,Documentary,,,15693
2015,February 6th,mune le gardien de la lune,Adventure,"14534046,00","17000000,00",15694
2015,February 6th,lovesick,Comedy,,,15695
2015,February 6th,khid thueng withaya,Romantic Comedy,"485201,00",,15696
2015,February 6th,old fashioned,Drama,,,15697
2015,February 6th,jack bestelt een broertje,Adventure,"781631,00",,15698
2015,March 13th,it follows,Horror,"8562219,00","2000000,00",15699
2015,February 6th,gong fan,Drama,"16517,00",,15700
2015,February 6th,l ex de ma vie,Romantic Comedy,"89011,00",,15701
2015,February 6th,jupiter ascending,Action,"134500000,00","179000000,00",15702
2015,February 13th,c est si bon,Drama,"11537018,00",,15703
2015,February 6th,choe gang jeon sa mi ni teuk gong dae,,"579452,00",,15704
2015,February 6th,enter the dangerous mind,Thriller/Suspense,,"3000000,00",15705
2015,February 6th,barbie in princess power,Adventure,"1543208,00",,15706
2015,February 6th,300 worte deutsch,Comedy,"261838,00",,15707
2015,February 6th,3 nights in the desert,Drama,,,15708
2015,February 6th,boy meets girl,Romantic Comedy,"19016,00",,15709
2015,February 5th,mo er zhuang yuan 3 mo huan lie che da mao xian,Adventure,"1618159,00",,15710
2015,April 17th,the dead lands,Action,"44385,00",,15711
2015,February 6th,shamitabh,Drama,"38103,00",,15713
2015,February 6th,ballet 422,Documentary,,,15721
2015,February 27th,zhong kui fu mo xue yao mo ling,Action,"63870868,00",,16070
2015,January 31st,xi yang yang yu hui tai liang zhi yang nian xi yang yang,Comedy,"9562725,00",,16071
2015,January 31st,suburban gothic,Black Comedy,,,16072
2015,February 4th,papa ou maman,Romantic Comedy,"21552188,00",,16073
2015,January 30th,yapisik kardesler,Comedy,"4035238,00",,16074
2015,January 30th,ziarno prawdy,Thriller/Suspense,"1354957,00",,16075
2015,January 31st,bao bei dui bu qi,Drama,"610000,00",,16076
2015,January 30th,you zhong ni ai wo,Comedy,"9620000,00",,16077
2015,January 30th,trudno byt bogom,Drama,"9595,00","7000000,00",16078
2015,January 30th,toute premi re fois,Romantic Comedy,"2640711,00",,16079
2015,January 30th,supremacy,Thriller/Suspense,,,16080
2015,January 30th,the technician,,"123588,00",,16081
2015,July 24th,phoenix,Drama,"3056173,00",,16082
2015,January 30th,de ontmaagding van eva van end,Drama,"7232,00",,16083
2015,January 30th,project almanac,Adventure,"10561196,00","12000000,00",16084
2015,January 30th,nae sim jang eool sswa la,Drama,"2510949,00",,16085
2015,January 30th,xiong chu mei zhi xue ling xiong feng,Adventure,"46998773,00",,16086
2015,January 30th,legends from the sky,Drama,,,16087
2015,January 30th,las ovejas no pierden el tren,Comedy,"1067472,00",,16088
2015,January 30th,italiano medio,Comedy,"4518908,00",,16091
2015,February 19th,michiel de ruyter,Action,"6398807,00",,16100
2015,January 30th,hawaizaada,Drama,,,16447
2015,January 30th,i imdeki ses,,"1792433,00",,16448
2015,January 30th,f nf freunde 4,Adventure,"6283154,00",,16449
2015,January 30th,elki lokhmatye,Comedy,"2229328,00",,16450
2015,May 29th,gemma bovery,Drama,"864757,00",,16451
2015,January 30th,da muss mann durch,Comedy,"604394,00",,16452
2015,January 30th,eh janam tumhare lekhe,Drama,,,16453
2015,January 30th,cartas a mar a,Documentary,"521,00",,16454
2015,January 30th,big news from grand rock,Comedy,,,16455
2015,January 30th,benpao ba xiongdi,Reality,"68110000,00",,16456
2015,December 3rd,black or white,Drama,"399832,00","9000000,00",16457
2015,January 30th,bande de filles,Drama,"52033,00",,16458
2015,January 30th,alien outpost,Thriller/Suspense,"45769,00",,16459
2015,January 30th,above and beyond,Documentary,,"1300000,00",16460
2015,January 30th,aap wong,,"710602,00",,16461
2015,July 31st,der 7bte zwerg,Adventure,"20930000,00",,16462
2015,February 13th,kingsman the secret service,Action,"276300000,00","94000000,00",16463
2015,February 13th,kingsman the secret service,Action,"276300000,00","94000000,00",31546
2015,January 29th,game of thrones the imax experience,Drama,,,16464
2015,February 6th,the spongebob movie sponge out of water,Adventure,"148019149,00","74000000,00",16465
2015,February 6th,the spongebob movie sponge out of water,Adventure,"148019149,00","74000000,00",33151
2015,January 23rd,we ll never have paris,Romantic Comedy,,,16467
2015,January 30th,2015 oscar shorts,Multiple Genres,,,16469
2015,January 29th,re xue tian tuan,Drama,"140000,00",,16472
2015,January 23rd,strange magic,Adventure,"1311760,00",,16814
2015,January 23rd,sei mai stata sulla luna,Comedy,"3065820,00",,16815
2015,January 23rd,la reconstrucci n,Drama,"10605,00",,16816
2015,January 23rd,song one,Drama,"404838,00","6000000,00",16817
2015,January 23rd,red army,Documentary,"108703,00",,16818
2015,January 23rd,r100,Black Comedy,,"5500000,00",16820
2015,January 23rd,miss hill making dance matter,Documentary,,,16821
2015,January 23rd,me ique y el espejo m gico,Adventure,"978681,00",,16822
2015,January 23rd,k stebekgiller perili orman,Adventure,"675127,00",,16823
2015,January 23rd,manny,Documentary,,,16824
2015,January 23rd,the humbling,Drama,"341495,00",,16825
2015,January 23rd,kisejuu part 1,Horror,"9352004,00",,16826
2015,January 23rd,il nome del figlio,Comedy,"3219309,00",,16827
2015,January 23rd,hiszpanka,Action,"194591,00",,16828
2015,January 23rd,gangnam 1970,Action,"16016282,00",,16829
2015,January 23rd,homies,Comedy,"1810644,00",,16830
2015,January 23rd,killers,Action,,,16705
2010,June 4th,killers,Action,"48512786,00","75000000,00",16705
2015,January 23rd,discount,Comedy,"1417767,00",,16831
2015,January 23rd,the duke of burgundy,Drama,"121802,00",,16832
2015,January 23rd,dolly ki doli,Comedy,,,16834
2015,January 23rd,guai tan,Thriller/Suspense,"990000,00",,16842
2015,January 23rd,cake,Drama,"303623,00",,9606
2018,April 13th,cake,Drama,"82313,00",,9606
2015,January 23rd,black sea,Thriller/Suspense,"2160512,00",,17188
2015,September 23rd,la belle et la b te,Drama,"2679929,00",,17190
2015,January 23rd,baby,Action,"82411,00",,17191
2020,December 25th,baby,Thriller/Suspense,"30917,00",,17191
2015,January 23rd,ask sana benzer,Drama,"5902324,00",,17192
2015,January 23rd,big muddy,Drama,,,17193
2015,January 23rd,atlit,Drama,"120512,00",,17194
2015,January 23rd,l armee du salut,Drama,,,17195
2015,May 22nd,aloft,Drama,"478053,00","8000000,00",17196
2015,February 27th,71,Thriller/Suspense,"3106411,00",,17197
2015,January 23rd,against the sun,Drama,"54,00",,17198
2015,January 23rd,3 t rken ein baby,Comedy,"1611854,00",,17199
2015,January 23rd,mortdecai,Action,"22700000,00","60000000,00",17200
2015,January 23rd,americons,Action,,,17201
2015,April 10th,ex machina,Thriller/Suspense,"12917421,00","13000000,00",17202
2015,January 19th,patterns of evidence exodus,Documentary,,,17203
2015,January 20th,all the wilderness,Drama,,,17204
2015,July 24th,american heist,Action,"2341218,00","10000000,00",17205
2015,January 16th,the wedding ringer,Comedy,"15711385,00","23000000,00",17206
2015,January 16th,three night stand,Comedy,,,17207
2015,January 30th,wild card,Action,"4312589,00","30000000,00",17208
2015,June 5th,testament of youth,Drama,"4824419,00","10000000,00",17209
2015,January 16th,still alice,Drama,"22941966,00","5000000,00",17546
2015,January 16th,les souvenirs,Comedy,"7777531,00",,17547
2015,January 16th,the smell of us,Drama,"84962,00",,17549
2015,January 16th,siu je yau sam,,"541078,00",,17550
2015,January 16th,pokemon za m b xy hakai no mayu to diansh,Adventure,"1689083,00",,17551
2015,January 16th,spare parts,Drama,"82369,00",,17552
2015,May 22nd,omoide no mani,Drama,"1202704,00",,17553
2015,January 16th,the phoenix project,Drama,,,17554
2015,January 16th,oneului yeonae,,"13576426,00",,17555
2015,January 16th,ni zhuan sheng,,"46569,00",,17556
2015,April 18th,loitering with intent,Comedy,,,17557
2015,January 16th,mazlum kuzey,Comedy,"378764,00",,17558
2015,May 1st,loin des hommes,Drama,"1124894,00","7700000,00",17560
2015,January 16th,little accidents,Drama,,,17561
2015,January 16th,lianhua xingdong,Drama,"3030000,00",,17562
2015,January 16th,italo barocco,Comedy,"637136,00",,17563
2015,January 16th,in the heart,,"74766,00",,17564
2015,February 20th,the last naruto the movie,Action,"1601660,00",,17565
2015,January 16th,heosamgwan maehyeolgi,Drama,"6702181,00",,17566
2015,June 5th,hungry hearts,Drama,"554098,00",,17567
2015,January 16th,frau m ller muss weg,Comedy,"9031225,00",,17568
2015,January 16th,fatih in fedaisi kara murat,Action,"656479,00",,17569
2015,January 16th,sous x,Drama,"156706,00",,17581
2015,January 16th,i,Action,"203979,00",,17582
2015,June 26th,escobar paradise lost,Drama,"3721887,00","17000000,00",17899
2015,June 26th,escobar paradise lost,Drama,"3721887,00","17000000,00",30884
2015,September 18th,the cut,Drama,"417385,00",,17900
2015,January 16th,ilgin dersane 4 ada,Comedy,"1082463,00",,17901
2015,January 16th,bao zou shen tan,Drama,"3590092,00",,17902
2015,January 16th,blackhat,Thriller/Suspense,"11659024,00","70000000,00",17903
2015,January 16th,appropriate behavior,Comedy,"62185,00",,17905
2015,January 16th,ablations,Thriller/Suspense,"496,00",,17906
2015,January 15th,tang ren jie tan an,Action,"120183719,00",,17907
2015,January 15th,paper planes,Adventure,"7769982,00",,17908
2015,January 14th,salut d amour,Comedy,"8158535,00",,17909
2015,January 14th,faeryville,Drama,,,17910
2015,January 15th,doktor proktor s prompepulver,Comedy,"55713,00",,17911
2015,January 14th,il capitale umano,Drama,"688371,00",,17912
2015,January 14th,match,Comedy,,,17913
2015,January 9th,the world made straight,Drama,,,17914
2015,January 9th,vessel,Documentary,,"800000,00",17915
2015,January 9th,sordo,Documentary,"1310,00",,17916
2019,September 13th,sordo,Action,"96887,00",,17916
2015,January 9th,tevar,Action,,,17918
2015,January 9th,xia yi zhan zai ai ni,,"34026,00",,17919
2015,December 25th,selma,Drama,"14699668,00","20000000,00",17921
2015,January 9th,seinto seiya legend of sanctuary,Action,"7851441,00",,18234
2015,January 9th,rediaeksyeon cheongchun,Action,"56605,00",,18235
2015,January 9th,preservation,Horror,,,18237
2015,May 8th,la ran on de la gloire,Comedy,"147063,00",,18238
2015,January 9th,overtime,Action,"19177,00",,18239
2015,January 9th,miedzy nami dobrze jest,Comedy,"5001,00",,18240
2015,January 9th,loucas pra casar,Comedy,"15918808,00",,18242
2015,January 9th,let the music play,Comedy,"111125,00",,18243
2015,January 9th,let s kill ward s wife,Black Comedy,,"5000000,00",18244
2015,January 9th,die geliebten schwestern,Drama,"17549,00",,18245
2015,January 9th,dark summer,Thriller/Suspense,,,18246
2015,February 27th,maps to the stars,Black Comedy,"533395,00",,18247
2015,January 9th,fotograf,Documentary,"123672,00",,18248
2015,January 9th,black november,Drama,"32572,00","7500000,00",18249
2015,May 1st,chic,Comedy,"277731,00",,18250
2015,January 9th,farewell herr schwartz,Documentary,,,18251
2015,June 17th,l affaire sk1,Drama,"2563070,00",,18252
2015,January 9th,bana masal anlatma,Comedy,"6740968,00",,18253
2015,July 10th,10 000 km,Drama,"20452,00",,18255
2015,January 6th,a horse for summer,Drama,,,18591
2015,January 2nd,watashi no otoko,Drama,"40764,00",,18593
2015,January 2nd,the woman in black 2 angel of death,Horror,"18505369,00",,18594
2015,January 2nd,the woman in black 2 angel of death,Horror,"18505369,00",,33231
2015,January 2nd,tut s z n,Comedy,"29301,00",,18596
2015,January 2nd,walesa czlowiek z nadziei,Comedy,"13914,00",,18597
2015,January 2nd,trace amounts,Documentary,,,18598
2015,January 2nd,une heure de tranquillit,Comedy,"8482884,00",,18599
2015,January 2nd,three heroes horseback,Adventure,"12909250,00",,18601
2015,January 2nd,the search for general tso,Documentary,,,18602
2015,January 2nd,si accettano miracoli,Comedy,"17368660,00",,18603
2015,January 9th,taken 3,Action,"238400000,00","48000000,00",18604
2015,March 27th,the riot club,Drama,"2591267,00",,18605
2015,January 2nd,rec 4 apocalypse,Horror,"330057,00",,18606
2015,January 2nd,simindis kundzuli,Drama,"37445,00",,18607
2015,January 2nd,li l quinquin,Comedy,"6854,00",,18608
2015,January 2nd,messi,Documentary,"15445,00",,18609
2015,January 2nd,mucize,Drama,"15301749,00",,18610
2015,January 2nd,bir gece,Drama,"3891,00",,18611
2015,January 2nd,babysitting,Comedy,"24564100,00","3400000,00",18612
2015,January 1st,candy apple,Black Comedy,,,18613
2015,January 1st,chuang tang tu 2 feng kuang ma xi tuan,Adventure,"2690000,00",,18614
2015,January 1st,ba xi ku da mao xian,Drama,"1546402,00",,18615
2015,January 1st,8 novykh svidaniy,Comedy,"5977612,00",,18935
2016,October 28th,desu n to light up the new world,Thriller/Suspense,"18901839,00",,69
2016,November 11th,disturbing the peace,Documentary,,,70
2020,January 17th,disturbing the peace,Action,"11227,00",,70
2016,November 11th,doctor who the power of the daleks,Action,"116162,00",,72
2016,November 25th,bellas de noche,Documentary,,,74
2016,November 25th,the unmarried wife,Drama,"66140,00",,76
2016,December 2nd,sha mo zhi xin,,"49204,00",,77
2016,December 16th,poveri ma ricchi,Comedy,"7259767,00",,78
2016,November 18th,nuo lietuvos nepab gsi,Drama,"2465,00",,79
2016,December 9th,somewhere connected,,"19291,00",,80
2016,December 30th,p re fils th rapie,Comedy,"1453270,00",,82
2016,2016 (Limited) by,stage v,Action,,,676
2016,2016 (Limited) by,no beast so fierce,Drama,,,677
2016,December 30th,v echno nebo nic,Romantic Comedy,"1515221,00",,678
2016,December 30th,la trilogie marseillaise,Drama,,,679
2016,December 30th,super kindergarten,,"290308,00",,680
2016,December 30th,vier gegen die bank,Drama,"9165727,00",,682
2016,December 30th,she s from another planet,Romantic Comedy,"17869,00",,683
2016,December 30th,pooh l ultimo concerto,Concert/Performance,"465079,00",,684
2016,December 30th,ni hao feng zi,Comedy,"2197630,00",,719
2016,December 30th,na mlecnom putu,Drama,"1034643,00",,722
2016,December 30th,nas l yani,Comedy,"17280,00",,723
2016,December 30th,motor mitraan di,Drama,"21148,00",,724
2016,December 30th,the journey home,,"338690,00",,726
2016,December 30th,inhebek hedi,Drama,"316803,00",,728
2016,December 30th,le coeur en braille,,"803890,00",,729
2016,December 30th,diamond island,Drama,"81613,00",,730
2016,December 30th,berliner philharmoniker live 2016 new year s gala concert,Concert/Performance,"63116,00",,731
2016,December 30th,ba ba de 3 ci hun li,Romantic Comedy,"101339,00",,732
2016,December 30th,cherry returns,Thriller/Suspense,"4878197,00",,733
2016,December 30th,ashik,Drama,"7964,00",,734
2016,December 30th,the adventures of wei bao bao,Comedy,"3233185,00",,735
2016,December 29th,viking,Action,"29099751,00",,736
2016,December 29th,provoking laughter,Adventure,"3160000,00",,737
2016,December 29th,onze jongens,Comedy,"3193629,00",,738
2016,December 30th,les 3 p tit cochon 2,Romantic Comedy,"11414,00",,739
2016,December 28th,umi ga kikoeru,Drama,,,740
2016,December 26th,because i love you,Romantic Comedy,"2386307,00",,741
2016,December 26th,br dre,Documentary,"917,00",,742
2005,May 6th,br dre,Drama,,,742
2016,December 30th,david attenborough s natural history museum alive,Documentary,"256848,00",,743
2016,December 25th,live by night,Drama,"11395877,00","65000000,00",744
2016,January 13th,monster trucks,Adventure,"28272632,00","125000000,00",745
2016,December 25th,hidden figures,Drama,"62164429,00","25000000,00",748
2016,January 13th,some like it hot,Romantic Comedy,"95655578,00",,793
2016,December 25th,20th century women,Drama,"3688966,00","7000000,00",794
2016,December 24th,haikyu the winner and the loser,Adventure,"314682,00",,795
2016,December 24th,christmas again,Drama,"17341,00",,796
2016,December 24th,christmas again,Drama,"17341,00",,30580
2016,December 23rd,you ji ke xun,,"23398,00",,797
2016,December 23rd,wi ken jeu,Documentary,"19154,00",,798
2016,December 23rd,tri bogatyrya i morskoy tsar,Adventure,"13816096,00",,799
2016,December 23rd,siyah karga,Drama,"4307,00",,800
2016,August 31st,snezhnaya koroleva 3 ogon i led,Adventure,"24617186,00",,801
2016,January 25th,singam 3,Action,"195616,00",,802
2016,December 23rd,shi xin zhe,Horror,"53708,00",,803
2016,March 2nd,souvenir,Drama,"342575,00",,804
