TITLE,Movie_ID,worldwide_box_office
zhong guo he huo ren 2,190,3004460.0
mary poppins returns,191,348901032.0
a christmas carol,192,
a christmas carol,192,441322.0
a christmas carol,192,153811.0
the wedding,193,2513.0
yo kai watch movie 5  forever friends,194,10441722.0
volver a boedo,195,16032.0
yuli,196,4326104.0
turtle odyssey 3d,197,141256.0
three words to forever,198,17076.0
trote,199,6538.0
that way madness lies,200,
la vida que te agenciaste,201,63.0
there will be ample time,202,9135.0
stolen fairytales,203,5197.0
at kapi ask,204,36969.0
skjelvet,205,4052408.0
caff,206,157683.0
seethakaathi,207,10103.0
balloon,208,2186353.0
barkley,209,1926435.0
basmati blues,210,15651.0
asya,211,2.0
anons,212,24879.0
aruvi,213,863.0
dvizhenie vverkh,214,61925449.0
er dai yao jing,215,46154324.0
1987  when the day comes,216,51775357.0
qian ren 3  yan zhi da zuo zhan,217,307547824.0
revenge girl,218,1302754.0
phantom thread,219,47812199.0
berliner philharmoniker  new year s eve concert,220,83045.0
yao mao zhuan,221,97033612.0
all the money in the world,222,56890649.0
tri bogatyrya i printsessa egipta,223,14184772.0
tout l     haut,224,2354121.0
tiger zinda hai,225,76520376.0
velaikkaran,226,9886215.0
the second time around,227,
paris opera ballet  tribute to jerome robbins,228,5259.0
painted skin  the double mask,229,468683.0
mochila de plomo,230,4955.0
yolki novye,231,15738222.0
the mule,232,173453994.0
the mule,232,
odiyan,233,79385.0
miamor perdido,234,1562666.0
met opera  la traviata,235,410916.0
met opera  la traviata,235,497163.0
met opera  la traviata,235,138567.0
ming wang xing shi ke,236,83081.0
the man who stole banksy,237,89674.0
keepers of the flame,238,1361.0
journal 64,239,226791.0
jesucristo superstar  un hito en la historia del musical espa    ol,240,10.0
johnny,241,248.0
holding hands,242,5356.0
haru matsu bokura,243,1302229.0
impulso,244,2580.0
eoleuni doimyeon,245,27150.0
if beale street could talk,246,21398371.0
den  pobedy,247,2324.0
dragon ball super  broly,248,122747755.0
the first time,249,62950.0
the first time,249,
conversazioni atomiche,250,2116.0
da xiang xi di er zuo,251,14702.0
spindl,252,2277204.0
sakka podu podu raja,253,1944.0
romans,254,2741.0
chun tian de ma la song,255,1371255.0
rangreza,256,56979.0
seven fright nights,257,94532.0
la promesse de l aube,258,9181824.0
muumien joulu,259,515414.0
the post,260,179769457.0
quiz    s hoy,261,282.0
mult v kino  vypusk no  65,262,56677.0
miseinen dakedo kodomo janai,263,5146046.0
molly        s game,264,53296424.0
lesa humanitat,265,2216.0
mart    lar    n efendisi,266,199953.0
hotel infierno,267,3784.0
huisvrouwen bestaan niet,268,3239032.0
jing hun qi you,269,114402.0
hostiles,270,36976336.0
hello,271,4394131.0
gordon   paddy,272,96264.0
garde altern    e,273,3907930.0
d    s kirginlari,274,2510.0
the cbeebies christmas show  thumbelina,275,274407.0
father figures,276,21038441.0
bon bini holland 2,277,8664726.0
beyond white space,278,
bana bir soygun yaz 2,279,182040.0
bhajjo veero ve,280,103289.0
hangman,281,104503.0
antidote,282,
andre rieu s sydney town hall concert   an australian celebration,283,2806603.0
singsu,284,
maine,285,
why are we creative  the centipede s dilemma,286,95567.0
il testimone invisibile,287,6750631.0
a …  k bu mu,288,60183.0
khrustal,289,63603.0
owarani hito miyazaki  hayao,290,
bumblebee,291,465195589.0
bird box,292,
un beau voyou,293,501368.0
the photographer,294,3042381.0
spider man  into the spider verse 3d,295,375084923.0
roma,296,1109544.0
the gaelic curse,297,
pachamama,298,1866211.0
r    mi sans famille,299,7395953.0
deadman standing,300,
dawning,301,16504.0
dr  huang danian,302,1420000.0
downsizing,303,54462971.0
doctor who  twice upon a time,304,223498.0
cuando los hijos regresan,305,2906566.0
belal    lar,306,257.0
arth  the destination,307,13503.0
before i die,308,35841.0
ac     tatl     ek …  i,309,1957225.0
aadu 2,310,4273904.0
the lucky man,311,
pitch perfect 3,312,185736412.0
masterpiece,313,2787298.0
mca  middle class abbayi,314,9939186.0
ji qi zhi xue,315,47872755.0
xin li zui zhi cheng shi zhi guang,316,35045171.0
namiya,317,35327718.0
jumanji  welcome to the jungle,318,961613199.0
el zoco de la buri buri,319,467.0
y    kai watch 4,320,18395457.0
dieses bescheuerte herz,321,20096261.0
das versprechen,322,
unexpectedly yours,323,45997.0
super vacanze di natale,324,464275.0
holiday inn  the new irving berlin musical,325,14312.0
buttons,326,
yuan qu de mu ge,327,1440000.0
subrahmanyapuram,328,1167.0
son          k,329,3308.0
the snowman and the snowdog,330,51844.0
vox lux,331,1283981.0
mult v  kino vypusk no  86,332,101015.0
second act,333,63288854.0
el rey,334,48259.0
eytan ge    idi enhara,335,12210.0
pupille,336,6827923.0
racetime,337,1291454.0
por amor al arte,338,336.0
parque mayer,339,250365.0
paran    n kokusu,340,287.0
norm of the north  keys to the kingdom,341,1091551.0
the party        s just beginning,342,4371.0
ruleta rusa,343,13752.0
mountain rest,344,
sundowners,345,
mi peque    o gran hombre,346,1529896.0
poyraz karayel  k    resel sermaye,347,54455.0
permanent,348,
papita 2da base,349,41950000.0
poveri ma ricchissimi,350,7396878.0
pescadores,351,645.0
old beast,352,311678.0
ni    a perro,353,505.0
novogodniy perepolokh,354,952127.0
natale da chef,355,3270987.0
monsoon shootout,356,93721.0
the midnight man,357,2526184.0
muchos hijos  un mono y un castillo,358,643281.0
masoch  el camino del perro,359,408.0
maria by callas,360,2795383.0
journey of bhangover,361,1760.0
hard kaur,362,3162.0
nona,363,
k3 love cruise,364,1081993.0
game of ayodhya,365,5152.0
dr    les de petites b    tes,366,14163162.0
papatya,367,2057.0
ek andekha sach,368,1992.0
merry men  the real yoruba demons,369,4315.0
love live  sunshine   aqours 4th lovelive  sailing to the sunshine,370,13640.0
mary queen of scots,371,47020146.0
ma m    re est folle,372,447679.0
left hand and right hand,373,3346.0
love afterlife,374,36540.0
la scala  attila,375,33873.0
la     ltima b    squeda,376,773.0
kafalar kar     …      k,377,1979548.0
kuru,378,5041160.0
kedarnath,379,1187432.0
hospitality,380,
frank and ava,381,
jin ji de nan hai,382,65446.0
gekijoban haikara san ga toru zenpen tokyo dai roman,383,
eso que nos enamora,384,4650.0
eia j    ulud tondikakul,385,
elephants,386,
el dulce sabor del limon,387,349.0
dumplin,388,399198.0
devushka s kosoy,389,47374.0
drug,390,
